"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"  Eu como usuário do sistema
  Desejo realizar o login no sistema
  Para realizar minhas atividades","2309","Realizar login na pagina RCremonez","","Sat Jul 05 06:18:44 GMT 2025","passed","Sat Jul 05 06:18:46 GMT 2025","","Login","Realizar login na pagina RCremonez",""
"  Eu como usuário do sistema
  Desejo realizar o login no sistema
  Para realizar minhas atividades","2300","Realizar login na pagina RCremonez","","Sat Jul 05 06:18:42 GMT 2025","passed","Sat Jul 05 06:18:44 GMT 2025","","Login","Realizar login na pagina RCremonez",""
"  Eu como usuário do sistema
  Desejo realizar o login no sistema
  Para realizar minhas atividades","14857","Realizar login na pagina RCremonez","","Sat Jul 05 06:18:24 GMT 2025","passed","Sat Jul 05 06:18:39 GMT 2025","","Login","Realizar login na pagina RCremonez",""
"  Eu como usuário do sistema
  Desejo realizar o login no sistema
  Para realizar minhas atividades","2317","Realizar login na pagina RCremonez","","Sat Jul 05 06:18:48 GMT 2025","failed","Sat Jul 05 06:18:51 GMT 2025","","Login","Realizar login na pagina RCremonez",""
"  Eu como usuário do sistema
  Desejo realizar o login no sistema
  Para realizar minhas atividades","2297","Realizar login na pagina RCremonez","","Sat Jul 05 06:18:46 GMT 2025","passed","Sat Jul 05 06:18:48 GMT 2025","","Login","Realizar login na pagina RCremonez",""
"  Eu como usuário do sistema
  Desejo realizar o login no sistema
  Para realizar minhas atividades","2312","Realizar login na pagina RCremonez","","Sat Jul 05 06:18:39 GMT 2025","passed","Sat Jul 05 06:18:42 GMT 2025","","Login","Realizar login na pagina RCremonez",""
