"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"  Eu como usuário do sistema
  Desejo realizar o login no sistema
  Para realizar minhas atividades","2285","Realizar login na pagina RCremonez","","Sat Jul 26 03:04:02 GMT 2025","passed","Sat Jul 26 03:04:04 GMT 2025","","Login","Realizar login na pagina RCremonez",""
"  Eu como usuário do sistema
  Desejo realizar o login no sistema
  Para realizar minhas atividades","2300","Realizar login na pagina RCremonez","","Sat Jul 26 03:04:08 GMT 2025","failed","Sat Jul 26 03:04:11 GMT 2025","","Login","Realizar login na pagina RCremonez",""
"  Eu como usuário do sistema
  Desejo realizar o login no sistema
  Para realizar minhas atividades","2293","Realizar login na pagina RCremonez","","Sat Jul 26 03:04:04 GMT 2025","passed","Sat Jul 26 03:04:06 GMT 2025","","Login","Realizar login na pagina RCremonez",""
"  Eu como usuário do sistema
  Desejo realizar o login no sistema
  Para realizar minhas atividades","15206","Realizar login na pagina RCremonez","","Sat Jul 26 03:03:44 GMT 2025","passed","Sat Jul 26 03:03:59 GMT 2025","","Login","Realizar login na pagina RCremonez",""
"  Eu como usuário do sistema
  Desejo realizar o login no sistema
  Para realizar minhas atividades","2438","Realizar login na pagina RCremonez","","Sat Jul 26 03:03:59 GMT 2025","passed","Sat Jul 26 03:04:02 GMT 2025","","Login","Realizar login na pagina RCremonez",""
"  Eu como usuário do sistema
  Desejo realizar o login no sistema
  Para realizar minhas atividades","2295","Realizar login na pagina RCremonez","","Sat Jul 26 03:04:06 GMT 2025","passed","Sat Jul 26 03:04:08 GMT 2025","","Login","Realizar login na pagina RCremonez",""
