"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"  Eu como usuário do sistema
  Desejo realizar o login no sistema
  Para realizar minhas atividades","375","Realizar login na pagina RCremonez","","Sat Jul 05 06:11:21 GMT 2025","broken","Sat Jul 05 06:11:22 GMT 2025","","Login","Realizar login na pagina RCremonez",""
"  Eu como usuário do sistema
  Desejo realizar o login no sistema
  Para realizar minhas atividades","381","Realizar login na pagina RCremonez","","Sat Jul 05 06:11:22 GMT 2025","broken","Sat Jul 05 06:11:22 GMT 2025","","Login","Realizar login na pagina RCremonez",""
"  Eu como usuário do sistema
  Desejo realizar o login no sistema
  Para realizar minhas atividades","15148","Realizar login na pagina RCremonez","","Sat Jul 05 06:11:05 GMT 2025","broken","Sat Jul 05 06:11:20 GMT 2025","","Login","Realizar login na pagina RCremonez",""
"  Eu como usuário do sistema
  Desejo realizar o login no sistema
  Para realizar minhas atividades","366","Realizar login na pagina RCremonez","","Sat Jul 05 06:11:21 GMT 2025","broken","Sat Jul 05 06:11:21 GMT 2025","","Login","Realizar login na pagina RCremonez",""
"  Eu como usuário do sistema
  Desejo realizar o login no sistema
  Para realizar minhas atividades","377","Realizar login na pagina RCremonez","","Sat Jul 05 06:11:22 GMT 2025","broken","Sat Jul 05 06:11:22 GMT 2025","","Login","Realizar login na pagina RCremonez",""
"  Eu como usuário do sistema
  Desejo realizar o login no sistema
  Para realizar minhas atividades","385","Realizar login na pagina RCremonez","","Sat Jul 05 06:11:20 GMT 2025","broken","Sat Jul 05 06:11:21 GMT 2025","","Login","Realizar login na pagina RCremonez",""
